"id","nama_agency","pagu","hps","harga_penawaran","nama_pemenang","pemenang_2","harga_penawaran_2",cluster
10011,'Sekretariat Jenderal Kementerian Keuangan',1914135,1907100,1573196,'PT. Berca Hardayaperkasa','PT. Mastersystem Infotama',1610620,C0
10011,'Sekretariat Jenderal Kementerian Keuangan',1914135,1907100,1573196,'PT. Berca Hardayaperkasa','PT. QUADRA SOLUTION',1638178,C0
11011,'Sekretariat Jenderal Kementerian Keuangan',1340000,1035099,1065900,'PT. Swadharma Duta Data','PT. Mastersystem Infotama',1089968,C0
19011,'Sekretariat Jenderal Kementerian Keuangan',800000,763345,347347,'PT. INDONESIA COMNETS PLUS','PT. Telekomunikasi Indonesia Tbk.',395696,C0
20011,'Sekretariat Jenderal Kementerian Keuangan',1150000,1070834,820487,'PT. Telekomunikasi Indonesia Tbk.','PT Indosat Tbk',919116,C0
20011,'Sekretariat Jenderal Kementerian Keuangan',1150000,1070834,820487,'PT. Telekomunikasi Indonesia Tbk.','PT. INDONESIA COMNETS PLUS',640200,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT NUSANTARA COMPNET INTEGRATOR',457246,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT. Mastersystem Infotama',486096,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT. METROCOM GLOBAL SOLUSI',451127,C0
22011,'Sekretariat Jenderal Kementerian Keuangan',641591,501178,410999,'PT. PRIMA INTEGRASI NETWORK','PT. PERNADI WIRAPERKASA',428392,C0
24011,'Sekretariat Jenderal Kementerian Keuangan',2350000,2236211,1234893,'PT. Lion Metal Works Tbk.','INDOVICKERS FURNITAMA',1430000,C0
24011,'Sekretariat Jenderal Kementerian Keuangan',2350000,2236211,1234893,'PT. Lion Metal Works Tbk.','PT. Karya Mega Kencana',1290990,C0
27011,'Sekretariat Jenderal Kementerian Keuangan',1000000,987980,949121,'PT CIPTA CITRA SENINDO','PT MEDIATAMA CIPTACITRA',950552,C0
27011,'Sekretariat Jenderal Kementerian Keuangan',1000000,987980,949121,'PT CIPTA CITRA SENINDO','Transito Adiman Jati',995337,C0
28011,'Sekretariat Jenderal Kementerian Keuangan',1800000,1759142,1462754,'PT CIPTA CITRA SENINDO','PELITA ALEMBANA',1659993,C0
28011,'Sekretariat Jenderal Kementerian Keuangan',1800000,1759142,1462754,'PT CIPTA CITRA SENINDO','PT MEDIATAMA CIPTACITRA',1697908,C0
32011,'Sekretariat Jenderal Kementerian Keuangan',900000,786576,746416,'PT Astra Graphia Information Technology','PT. Universal System',809886,C0
39011,'Sekretariat Jenderal Kementerian Keuangan',600000,539332,495240,'PELITA ALEMBANA','PT CIPTA CITRA SENINDO',573407,C0
39011,'Sekretariat Jenderal Kementerian Keuangan',600000,539332,495240,'PELITA ALEMBANA','PT MEDIATAMA CIPTACITRA',528715,C0
41011,'Direktorat Jenderal Pajak',250000,222500,220000,'PT. Mitra Integrasi Informatika','PT. Mastersystem Infotama',248050,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT LINCE ROMAULI RAYA',2729131,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. ADHI KARYA (Persero) Tbk',2927959,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. GUNAKARYA NUSANTARA',3028914,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',2979364,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. SARI JATI ADHITAMA',2392825,C0
44011,'Bapepam - LK',3127500,3125390,2798799,'DEMA PUTRA TUNGGAL','PT. UTOMO LADJU',2866195,C0
45011,'Direktorat Jenderal Pajak',640000,627467,492800,'PT Tata Bisnis Solusi','PT Adicipta Inovasi Teknologi',499202,C0
46011,'Direktorat Jenderal Pajak',530000,458054,360277,'INDOVICKERS FURNITAMA',Rakaditu,274457,C0
50011,'Sekretariat Jenderal Kementerian Keuangan',500000,481487,434059,'PT MEDIATAMA CIPTACITRA','PT CIPTA CITRA SENINDO',434353,C0
54011,'Badan Pendidikan dan Pelatihan Keuangan',856755,856611,812619,'Intraco Lestari','PT. HIMINDO CITRA MANDIRI',842500,C0
56011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',600000000,510000000,157300000,'PT. Cyber Network Indonesia','Jasa Jejaring Wasantara',484000000,C0
56011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',600000000,510000000,157300000,'PT. Cyber Network Indonesia','PT. INDONESIA COMNETS PLUS',303050000,C0
63011,'Direktorat Jenderal Perbendaharaan',2460500,2460475,2155225,'PT. Wahana Ciptasinatria','PT. Universal System',2353073,C0
66011,'Badan Pendidikan dan Pelatihan Keuangan',560645,560228,489023,'PT. Mutu Garansi Prima','DESTRA PURNA KATRA',494736,C0
66011,'Badan Pendidikan dan Pelatihan Keuangan',560645,560228,489023,'PT. Mutu Garansi Prima','karya nusa internasional pt.',518511,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT NUSANTARA COMPNET INTEGRATOR',3144680,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. ADHISAKTI SOLUSI KOMPUTINDO',2741750,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. ASTRA GRAPHIA TBK',3004365,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. CITRATHIRZA ASTARIJAYA',3172940,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. Mastersystem Infotama',3182073,C0
72011,'Direktorat Jenderal Pajak',3449580,3182599,2979200,'PT. QUADRA SOLUTION','PT. Wahana Ciptasinatria',3199999,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. ADHISAKTI SOLUSI KOMPUTINDO',2068000,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. ASTRA GRAPHIA TBK',1765986,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. Mastersystem Infotama',2077038,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. PRIMA INTEGRASI NETWORK',2069933,C0
73011,'Direktorat Jenderal Pajak',2248350,2077420,2043800,'PT NUSANTARA COMPNET INTEGRATOR','PT. Swadharma Duta Data',1999250,C0
74011,'Badan Pendidikan dan Pelatihan Keuangan',2805280,2802438,2765500,'PT. Waskita Karya','PT. BANGUN KHARISMA PRIMA',2800000,C0
74011,'Badan Pendidikan dan Pelatihan Keuangan',2805280,2802438,2765500,'PT. Waskita Karya','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',2795000,C0
76011,'Bapepam - LK',1350000,1345186,1156531,'PT. MANGKUBUANA HUTAMA JAYA','PT. CAHAYA SAKTI INVESTINDO SUKSES',1062697,C0
76011,'Bapepam - LK',1350000,1345186,1156531,'PT. MANGKUBUANA HUTAMA JAYA','PT. Citra Heber Sejahtera',1199691,C0
76011,'Bapepam - LK',1350000,1345186,1156531,'PT. MANGKUBUANA HUTAMA JAYA','PT. Langgeng Cakramukti',1136111,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','Emerio Indonesia',1631850,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','PT LIMAWIRA WISESA',1487132,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','PT. Agra Sinergi Selaras',1407201,C0
79011,'Direktorat Jenderal Anggaran',1640000,1581131,1388278,'PT. Duta Astakona Girinda','PT. Mitra Integrasi Informatika',1372595,C0
80011,'Badan Pendidikan dan Pelatihan Keuangan',583466,580000,522200,'PT. HIMINDO CITRA MANDIRI','Intraco Lestari',559800,C0
87011,'Sekretariat Jenderal Kementerian Keuangan',2790937,1605700,1263680,'PT. ADHI KARYA (Persero) Tbk','PT. GRAHAPARAMA SANTOSA',1449986,C0
87011,'Sekretariat Jenderal Kementerian Keuangan',2790937,1605700,1263680,'PT. ADHI KARYA (Persero) Tbk','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',1343374,C0
92011,'Badan Pendidikan dan Pelatihan Keuangan',2043640,2043600,1971620,'PT. UTOMO LADJU','PT WIJAYA KARYA (Persero) Tbk.',2021732,C0
92011,'Badan Pendidikan dan Pelatihan Keuangan',2043640,2043600,1971620,'PT. UTOMO LADJU','PT. DIRGA MULYA YASA',1953880,C0
93011,'Badan Pendidikan dan Pelatihan Keuangan',2418633,2418600,2259357,'DEMA PUTRA TUNGGAL','PT WIJAYA KARYA (Persero) Tbk.',2322943,C0
93011,'Badan Pendidikan dan Pelatihan Keuangan',2418633,2418600,2259357,'DEMA PUTRA TUNGGAL','PT. PEMBANGUNAN PERUMAHAN (Persero) Tbk',2355463,C0
93011,'Badan Pendidikan dan Pelatihan Keuangan',2418633,2418600,2259357,'DEMA PUTRA TUNGGAL','PT. UTOMO LADJU',2293505,C0
94011,'Badan Pendidikan dan Pelatihan Keuangan',682607,682600,590435,'SARANA KARYAJASA','PT. Gokma Parulian Perkasa',564582,C0
95011,'Badan Pendidikan dan Pelatihan Keuangan',233263,233200,2030718800,'PT. TAMA CITRA MANDIRI','PT Bona Dupang Soaloon',219500,C0
95011,'Badan Pendidikan dan Pelatihan Keuangan',233263,233200,2030718800,'PT. TAMA CITRA MANDIRI','SAKA JAGAD PRATAMA',1841849000,C0
96011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1645184024,1645184024,1443387935,'PT. Bina Satria Agung Perkasa','Libs Dimensi Kreasindo',1596011000,C0
96011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1645184024,1645184024,1443387935,'PT. Bina Satria Agung Perkasa','PT. GRAHAPARAMA SANTOSA',1577364667,C0
97011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1633812400,1633812400,965415000,'PT. Karya Mega Kencana','PT Young Industry Indonesia',1027972161,C0
97011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1633812400,1633812400,965415000,'PT. Karya Mega Kencana','PT. CAHAYA SAKTI INVESTINDO SUKSES',1306700439,C0
97011,'LKPP (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah)',1633812400,1633812400,965415000,'PT. Karya Mega Kencana','PT. Citra Heber Sejahtera',1311706000,C0
101011,'Bapepam - LK',586238750,586118500,473574763,'KARYA TIGA MITRA','CV Le Peridien',475744940,C0
101011,'Bapepam - LK',586238750,586118500,473574763,'KARYA TIGA MITRA','CV. ANJELLA MUKTI',495225500,C0
104011,'Direktorat Jenderal Bea dan Cukai',1759761000,1759761000,1508558436,'PT. Sisindokom Lintasbuana','PT. Mitra Integrasi Informatika',1582498094,C0
107011,'Direktorat Jenderal Pajak',2054352,1501778,1014837,'PT NUSANTARA COMPNET INTEGRATOR','PT. Berca Hardayaperkasa',1139564,C0
107011,'Direktorat Jenderal Pajak',2054352,1501778,1014837,'PT NUSANTARA COMPNET INTEGRATOR','PT. CITRATHIRZA ASTARIJAYA',810612,C0
107011,'Direktorat Jenderal Pajak',2054352,1501778,1014837,'PT NUSANTARA COMPNET INTEGRATOR','PT. Wahana Ciptasinatria',881210,C0
110011,'Direktorat Jenderal Pajak',2946800,2693212,2684000,'PT WIJAYA KARYA INTRADE','PT. Bumiloka Tegar Perkasa',2397033,C0
