@relation Hasil-pengawasan-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3

@attribute Selisih_HPS_dengan_Penawaran numeric
@attribute Selisih_Pemenang_ke_dua numeric

@data
17,14
17,15
-2,-13
-2,-5
54,48
23,14
23,40
17,3
17,8
17,9
17,14
44,36
44,42
3,0
3,3
16,3
16,5
5,-4
5,-2
8,-6
8,1
25,-20
25,37
1,-11
10,3
10,4
10,6
10,8
10,12
10,23
21,20
21,19
21,40
9,9
5,1
69,5
69,40
12,4
12,6
12,7
12,11
6,0
6,1
6,5
6,13
6,14
1,0
1,2
1,3
1,14
1,0
1,0
14,10
14,15
14,19
14,21
12,-3
12,5
12,11
12,13
9,3
3,1
21,9
21,16
3,1
3,4
6,2
6,3
6,5
13,17
12,5
12,21
12,2
12,4
40,19
40,20
40,37
19,15
19,18
14,10
32,24
32,41
32,46
0,10
7,3
9,3
9,12
1,-3
3,-5
3,-1
3,0
3,2
3,3
3,4
3,11
3,12
-9,0
-9,3
-9,8
-3,-10
-3,-6
6,-4
6,0
6,1
6,2
6,4
6,5
5,3
30,-17
30,7
30,10
30,17
30,18
30,29
-2,-9
-2,9
-2,11
13,10
16,-9
16,-5
19,12
-3,-20
6,0
6,4
12,1
12,10
12,18
12,19
12,19
2,2
56,32
25,9
25,13
25,14
25,30
4,19
4,21
4,23
4,31
35,28
13,0
13,7
13,9
10,3
10,3
2,1
17,8
16,8
16,9
16,14
11,10
21,12
21,18
5,2
5,8
20,10
20,11
20,12
20,16
17,7
17,10
30,19
4,2
1,0
11,7
31,2
0,9
26,23
11,8
11,9
13,10
13,10
59,0
59,10
59,36
22,31
28,1
24,8
10,5
6,0
6,0
6,1
6,5
4,0
4,1
22,4
22,10
22,14
22,21
22,22
24,12
24,19
24,19
19,6
19,10
19,12
19,13
19,14
19,14
19,15
19,16
19,18
22,16
22,21
6,22
20,13
14,6
14,8
14,9
14,10
47,0
47,15
46,9
46,30
17,6
17,16
2,-16
2,-6
23,1
23,19
23,20
23,30
19,9
26,3
26,8
13,5
9,2
12,11
27,7
1,4
13,2
13,2
0,0
2,3
25,1
25,10
25,12
25,13
25,15
25,16
25,16
25,17
25,19
25,22
25,25
15,2
15,4
15,10
10,0
10,2
10,6
5,3
20,9
20,15
26,18
26,19
26,20
26,24
6,4
0,23
63,5
63,30
63,31
14,7
14,8
14,9
14,11
19,3
19,11
19,16
7,0
7,19
11,2
11,4
11,10
3,0
3,3
3,6
2,0
2,4
0,1
0,2
5,4
5,10
42,10
31,5
31,12
20,12
20,19
9,9
19,12
19,14
13,1
13,5
13,8
8,0
8,1
8,6
20,4
20,9
20,11
20,13
20,18
18,6
18,9
53,20
53,32
53,46
16,0
16,0
16,15
42,38
0,15
40,23
40,24
40,25
16,0
16,5
16,7
16,16
17,9
0,0
24,0
24,0
8,6
16,11
16,12
16,13
0,-7
0,-1
0,7
11,7
11,9
16,10
24,11
8,3
8,4
8,7
8,19
22,3
22,15
18,5
18,10
18,11
18,12
18,13
18,14
7,-28
7,0
7,1
48,13
48,15
29,21
29,30
11,3
11,6
11,7
10,10
10,11
5,3
2,2
15,10
19,3
19,4
4,2
22,15
22,21
16,8
21,0
21,4
21,5
21,8
4,2
21,16
21,19
18,6
18,21
27,17
32,18
3,3
3,10
11,3
11,19
6,0
6,2
15,11
55,35
0,2
0,-10
28,24
6,0
6,1
6,1
6,2
6,3
39,19
39,26
39,34
26,28
26,29
26,30
0,0
42,19
42,39
21,2
21,12
21,13
11,7
2,1
0,0
-71,-92
-71,-89
-71,-82
7,2
19,6
19,13
10,14
13,0
13,2
13,2
13,8
12,5
12,17
14,3
44,10
44,22
44,24
44,33
44,37
44,43
6,5
14,8
7,4
7,7
9,6
7,25
3,15
20,4
20,22
20,25
41,24
31,17
24,21
24,23
65,44
24,8
24,15
12,6
12,10
12,12
2,-5
2,0
2,0
2,1
12,6
12,15
25,10
25,20
25,25
20,-4
20,9
20,14
20,18
20,23
9,2
11,1
11,5
11,9
30,3
10,8
5,5
6,2
6,3
8,4
8,5
8,6
8,7
21,8
21,12
30,18
30,21
30,22
8,0
31,21
26,12
26,17
26,25
7,4
7,7
7,9
7,17
20,11
20,16
7,-5
7,1
7,2
7,6
10,1
10,6
10,7
11,0
11,4
15,3
15,4
15,4
15,12
23,0
23,1
23,13
23,14
23,15
0,0
7,4
7,5
7,11
7,19
7,23
22,14
22,18
22,28
24,39
16,5
16,10
16,11
16,13
16,14
13,14
5,3
46,34
37,13
37,18
13,4
0,-5
0,-2
10,1
10,6
10,8
10,9
8,5
7,7
3,2
3,2
11,6
11,13
9,6
21,8
21,16
1,0
1,0
1,1
1,8
14,14
32,26
9,1
29,12
29,13
29,14
23,0
23,2
23,17
15,3
15,9
15,12
15,14
49,-9
49,9
49,33
4,0
4,1
18,-3
16,7
4,1
4,2
25,23
1,1
11,9
19,5
4,10
46,12
46,19
46,29
46,34
46,35
46,40
46,40
46,46
27,11
27,24
27,30
20,15
20,16
20,16
20,17
20,16
20,20
33,15
33,23
33,24
33,30
33,31
30,5
30,14
30,20
30,28
30,29
10,3
10,4
10,5
13,0
13,6
13,9
18,4
18,7
18,15
18,16
38,19
38,27
54,4
21,5
21,12
21,20
1,0
8,2
8,4
8,13
10,1
10,8
