@relation Hasil-perencanaan-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R1

@attribute Selisih_pagu-hps numeric
@attribute Selisih_pagu_dan_harga_penawaran numeric

@data
0,3
10,28
2,1
0,1
18,18
38,5
0,100
0,7
0,6
0,17
0,4
6,1
0,1
31,36
0,100
19,6
0,1
0,5
3,5
0,1
0,1
52,100
0,11
11,-12
25,15
24,9
2,2
7,17
4,5
11,100
3,7
2,13
0,2
30,1
29,16
0,21
0,100
0,2
6,29
0,6
0,19
0,0
11,21
2,1
11,24
0,1
3,36
0,28
0,100
0,1
15,2
0,100
0,19
0,11
32,25
0,44
12,4
0,1
25,19
0,100
0,1
5,1
4,1
0,19
1,29
7,9
18,1
0,100
38,1
9,0
0,0
0,0
1,12
4,0
0,7
0,100
2,10
0,100
12,3
19,35
51,4
7,23
0,0
0,5
0,3
28,35
1,31
0,28
0,7
2,4
5,12
4,12
0,2
0,12
9,13
0,14
0,4
0,100
2,2
0,19
0,13
5,2
3,26
0,100
2,17
0,8
32,100
0,0
0,1
0,19
14,0
10,1
1,18
0,0
0,1
1,5
1,3
1,0
0,3
0,16
10,25
10,7
0,7
0,52
41,21
0,15
7,6
0,20
0,5
24,31
0,5
0,4
0,15
0,100
0,5
0,5
1,32
0,18
1,3
3,17
0,30
0,100
6,5
69,0
0,5
15,15
0,0
0,0
1,3
11,100
15,0
0,15
15,19
13,3
17,100
0,4
7,4
8,4
0,20
0,100
0,1
0,14
37,43
0,0
0,100
7,32
0,9
0,3
0,6
0,34
1,14
28,9
0,6
0,8
0,4
0,3
1,49
0,100
0,100
0,100
15,100
0,2
3,8
0,10
0,26
1,100
0,1
0,3
1,3
0,3
10,3
0,0
0,0
0,3
0,9
0,100
17,18
0,0
0,19
0,2
0,1
0,2
0,0
1,2
0,4
0,34
0,0
5,5
0,14
0,5
0,7
0,2
0,9
1,4
0,100
9,0
6,4
6,3
0,0
7,16
0,5
2,0
0,0
32,-34
0,12
26,32
0,29
0,1
0,30
0,11
0,1
33,-24
0,3
0,22
0,3
0,32
28,12
0,14
0,37
